Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
11,Mike Bantom\bantomi01,SF,30,PHI,43,1,22.8,3.6,7.1,0.51,0.0,0.1,0.33299999999999996,3.6,7.0,0.512,0.511,1.6,2.7,0.588,2.0,3.2,5.3,1.1,0.6,0.9,1.5,3.1,8.8,979,12.7,0.5329999999999999,0.01,0.373,10.5,15.3,13.0,6.3,1.2,2.2,15.2,17.9,0.6,1.3,1.9,0.092,-1.2,0.4,-0.7,0.3
12,Billy Ray Bates\batesbi01,SG,25,POR,75,0,16.4,4.4,9.2,0.473,0.2,0.5,0.293,4.2,8.7,0.484,0.48100000000000004,2.2,2.8,0.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1,1229,17.8,0.53,0.059000000000000004,0.305,4.9,5.0,4.9,13.9,1.6,0.2,10.6,29.4,1.8,0.6,2.4,0.094,0.8,-3.9,-3.2,-0.4
13,Mel Bennett\benneme01,PF,27,CLE,3,0,7.7,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.3,2.0,0.16699999999999998,0.3,0.7,1.0,0.0,0.3,0.0,1.3,0.7,1.7,23,-2.7,0.377,0.0,1.5,4.6,10.5,7.4,0.0,2.1,0.0,37.6,19.1,-0.1,0.0,-0.1,-0.27,-12.5,-3.0,-15.6,-0.1
14,Kent Benson\bensoke01,C,27,DET,75,72,32.9,5.4,10.7,0.505,0.0,0.1,0.273,5.4,10.5,0.508,0.507,1.7,2.1,0.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5,2467,14.4,0.539,0.013999999999999999,0.19699999999999998,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,2.2,3.0,5.2,0.10099999999999999,-0.3,1.6,1.3,2.1
15,Larry Bird*\birdla01,PF,25,BOS,77,58,38.0,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,2923,22.6,0.557,0.037000000000000005,0.26899999999999996,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,6.8,5.7,12.5,0.205,4.1,3.3,7.5,7.0
16,Otis Birdsong\birdsot01,SG,26,NJN,37,22,27.7,6.1,13.0,0.469,0.0,0.3,0.0,6.1,12.7,0.479,0.469,2.0,3.4,0.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2.0,14.2,1025,13.3,0.489,0.021,0.265,3.3,7.5,5.3,18.2,1.4,0.3,10.7,23.4,0.5,1.1,1.6,0.07400000000000001,-0.9,-1.2,-2.1,0.0
17,Rolando Blackman\blackro01,SG,22,DAL,82,16,24.1,5.4,10.4,0.513,0.0,0.0,0.25,5.3,10.4,0.515,0.514,2.6,3.4,0.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3,1979,16.2,0.5589999999999999,0.005,0.32299999999999995,5.4,9.4,7.3,8.3,1.1,0.9,10.4,22.7,3.2,0.8,4.1,0.098,0.6,-2.2,-1.6,0.2
18,Ray Blume\blumera01,SG,23,CHI,49,2,11.1,2.1,4.5,0.45899999999999996,0.1,0.4,0.222,2.0,4.2,0.48,0.46799999999999997,0.4,0.6,0.643,0.3,0.6,0.8,1.4,0.5,0.0,1.1,1.2,4.6,546,9.7,0.48200000000000004,0.081,0.126,3.0,5.4,4.3,18.9,2.0,0.2,18.7,22.1,-0.5,0.3,-0.1,-0.013000000000000001,-3.2,-2.7,-5.9,-0.5
19,Alex Bradley\bradlal02,SF,22,NYK,39,0,8.5,1.4,2.6,0.524,0.0,0.0,0.0,1.4,2.6,0.529,0.524,0.7,1.2,0.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5,331,12.4,0.552,0.01,0.466,10.5,12.0,11.2,4.6,1.7,0.9,18.4,18.9,0.1,0.3,0.4,0.053,-2.2,-1.7,-3.9,-0.2
20,Charles Bradley\bradlch01,SG,22,BOS,51,1,6.6,1.1,2.4,0.451,0.0,0.0,0.0,1.1,2.4,0.455,0.451,0.8,1.2,0.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3.0,339,8.9,0.509,0.008,0.508,4.0,8.2,6.2,8.5,2.0,1.0,19.9,22.0,-0.2,0.4,0.2,0.03,-4.1,-0.7,-4.8,-0.2
