Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
53,Wayne Cooper\coopewa01,C,25,DAL,76,38,23.9,3.7,8.8,0.42,0.0,0.1,0.125,3.7,8.7,0.424,0.42100000000000004,1.6,2.1,0.7440000000000001,2.6,4.6,7.2,1.5,0.5,1.4,1.2,3.8,9.0,1818,13.8,0.461,0.012,0.239,12.1,22.8,17.3,9.0,1.0,3.4,10.6,18.7,0.9,1.9,2.9,0.076,-1.6,1.1,-0.6,0.7
54,Hollis Copeland\copelho01,SF,26,NYK,18,0,6.6,0.9,2.1,0.42100000000000004,0.0,0.0,,0.9,2.1,0.42100000000000004,0.42100000000000004,0.3,0.3,0.833,0.2,0.1,0.3,0.5,0.2,0.1,0.2,1.1,2.1,118,7.5,0.455,0.0,0.158,2.9,2.0,2.4,10.1,1.6,1.0,9.0,15.6,0.0,0.1,0.1,0.028999999999999998,-3.7,-2.4,-6.1,-0.1
55,Dave Corzine\corzida01,C,25,SAS,82,21,26.7,4.1,7.9,0.519,0.0,0.0,0.25,4.1,7.9,0.52,0.519,1.9,2.6,0.746,2.6,5.1,7.7,1.6,0.4,1.5,1.7,2.9,10.1,2189,14.9,0.561,0.006,0.32899999999999996,10.3,20.5,15.4,7.6,0.7,3.2,15.8,16.0,2.6,2.5,5.2,0.113,-0.2,1.6,1.4,1.9
56,Charlie Criss\crissch01,PG,33,TOT,55,20,25.3,4.0,9.1,0.446,0.2,0.5,0.345,3.9,8.5,0.452,0.456,2.6,2.9,0.887,0.2,1.3,1.5,3.4,0.8,0.1,1.5,1.7,10.8,1392,13.3,0.524,0.057999999999999996,0.319,1.1,5.9,3.4,19.2,1.5,0.3,12.6,19.5,1.6,0.4,2.1,0.07200000000000001,-0.5,-2.5,-3.0,-0.4
56,Charlie Criss\crissch01,PG,33,ATL,27,0,20.4,3.1,7.8,0.4,0.1,0.3,0.25,3.0,7.5,0.406,0.405,2.4,2.7,0.89,0.2,1.2,1.4,2.8,0.9,0.1,1.1,1.5,8.7,552,13.6,0.485,0.038,0.348,1.2,6.6,3.9,20.7,2.1,0.2,11.0,21.4,0.4,0.6,1.0,0.08900000000000001,-1.2,-1.3,-2.5,-0.1
56,Charlie Criss\crissch01,PG,33,SDC,28,20,30.0,4.9,10.3,0.479,0.3,0.8,0.381,4.6,9.5,0.48700000000000004,0.493,2.7,3.1,0.884,0.3,1.3,1.6,4.0,0.8,0.1,1.9,2.0,12.9,840,13.1,0.552,0.073,0.299,1.0,5.4,3.1,18.1,1.2,0.3,13.8,18.3,1.2,-0.2,1.1,0.061,-0.1,-3.3,-3.4,-0.3
57,Geoff Crompton\crompge01,C,26,MIL,35,1,5.8,0.3,0.9,0.344,0.0,0.0,,0.3,0.9,0.344,0.344,0.2,0.4,0.4,0.3,0.9,1.2,0.4,0.2,0.3,0.5,1.1,0.8,203,3.6,0.363,0.0,0.469,5.9,16.9,11.6,7.6,1.4,3.4,30.6,11.3,-0.4,0.4,0.0,-0.011000000000000001,-7.4,2.8,-4.5,-0.1
58,Pat Cummings\cummipa01,PF,25,MIL,78,7,14.5,2.8,5.5,0.509,0.0,0.0,0.0,2.8,5.5,0.512,0.509,0.9,1.2,0.736,0.8,2.4,3.1,1.3,0.3,0.1,1.4,2.9,6.5,1132,11.1,0.537,0.005,0.212,6.4,17.9,12.4,12.5,0.9,0.5,18.7,21.0,0.1,1.7,1.8,0.078,-2.7,-0.5,-3.3,-0.4
59,Earl Cureton\curetea01,PF,24,PHI,66,8,14.5,2.3,4.6,0.48700000000000004,0.0,0.0,0.0,2.3,4.6,0.49,0.48700000000000004,0.8,1.4,0.5429999999999999,1.4,2.7,4.1,0.5,0.5,0.4,0.7,2.2,5.3,956,12.8,0.502,0.006999999999999999,0.307,11.1,20.3,15.9,4.4,1.5,1.6,11.2,17.0,0.6,1.5,2.1,0.10300000000000001,-2.1,-0.3,-2.4,-0.1
60,Bob Dandridge\dandrbo01,SF,34,MIL,11,0,15.8,1.9,5.0,0.382,0.0,0.0,,1.9,5.0,0.382,0.382,0.9,1.5,0.588,0.4,1.2,1.5,1.2,0.5,0.2,1.0,2.3,4.7,174,5.2,0.41600000000000004,0.0,0.309,2.7,8.3,5.6,9.7,1.4,0.7,15.0,17.4,-0.2,0.2,0.0,0.003,-5.7,-0.7,-6.4,-0.2
61,Adrian Dantley*\dantlad01,SF,25,UTA,81,81,39.8,11.2,19.6,0.57,0.0,0.0,0.33299999999999996,11.1,19.5,0.57,0.57,8.0,10.1,0.792,2.9,3.5,6.3,4.0,1.2,0.2,3.7,3.1,30.3,3222,24.2,0.631,0.002,0.516,7.6,9.6,8.6,15.5,1.4,0.2,13.3,27.9,11.9,0.7,12.6,0.187,6.6,-2.0,4.6,5.3
62,Brad Davis\davisbr01,PG,26,DAL,82,82,31.9,4.8,9.4,0.515,0.2,0.6,0.28600000000000003,4.7,8.8,0.53,0.524,2.3,2.8,0.804,0.4,2.3,2.8,6.2,0.9,0.1,1.9,2.7,12.1,2614,14.5,0.569,0.064,0.298,1.5,8.6,4.9,27.5,1.4,0.1,15.4,16.2,4.4,1.0,5.4,0.1,1.0,-1.8,-0.8,0.8
63,Charles Davis\davisch02,SF,23,WSB,54,10,10.6,1.6,3.4,0.478,0.0,0.0,0.0,1.6,3.4,0.484,0.478,0.6,0.7,0.8109999999999999,1.0,1.5,2.5,0.6,0.2,0.2,0.8,1.6,3.8,575,10.7,0.514,0.011000000000000001,0.201,10.5,14.8,12.6,7.7,0.8,1.3,17.7,17.7,0.0,0.8,0.9,0.07200000000000001,-2.8,0.5,-2.3,0.0
64,Johnny Davis\davisjo01,SG,26,IND,82,70,32.5,6.6,14.1,0.467,0.1,0.3,0.185,6.5,13.7,0.473,0.469,3.8,4.8,0.799,0.9,1.3,2.2,4.2,0.9,0.1,2.3,2.1,17.0,2664,15.2,0.526,0.023,0.342,2.9,4.4,3.6,20.4,1.4,0.2,12.3,23.7,3.0,2.1,5.1,0.091,0.7,-1.9,-1.2,0.5
65,Ron Davis\davisro01,SF,27,SDC,7,0,9.6,1.4,3.6,0.4,0.0,0.0,,1.4,3.6,0.4,0.4,0.4,0.9,0.5,1.0,0.9,1.9,0.6,0.0,0.0,0.7,1.1,3.3,67,6.6,0.41600000000000004,0.0,0.24,12.1,11.0,11.6,8.0,0.0,0.0,15.3,19.8,-0.1,0.0,-0.1,-0.066,-4.1,-4.3,-8.4,-0.1
66,Walter Davis\daviswa03,SF,27,PHO,55,12,21.5,6.4,12.2,0.523,0.1,0.3,0.188,6.3,11.9,0.531,0.525,1.7,2.0,0.82,0.4,1.5,1.9,2.9,0.8,0.1,2.0,1.9,14.4,1182,18.3,0.5529999999999999,0.024,0.166,2.0,7.5,4.8,23.3,1.9,0.1,13.5,29.0,1.2,1.4,2.7,0.109,1.0,-2.3,-1.2,0.2
67,Darryl Dawkins\dawkida01,C,25,PHI,48,36,23.4,4.3,7.6,0.564,0.0,0.0,0.0,4.3,7.6,0.5670000000000001,0.564,2.4,3.4,0.695,1.4,4.9,6.4,1.1,0.4,1.1,2.0,4.0,11.0,1124,15.0,0.601,0.005,0.447,7.1,22.8,15.3,6.7,0.8,2.8,17.9,19.8,1.1,1.8,2.9,0.122,-1.5,0.6,-0.9,0.3
68,Larry Demic\demicla01,PF,24,NYK,48,0,7.4,0.8,1.7,0.47,0.0,0.0,0.0,0.8,1.7,0.47600000000000003,0.47,0.3,0.8,0.359,0.6,1.0,1.6,0.3,0.1,0.1,0.5,1.4,1.9,356,5.7,0.45899999999999996,0.012,0.47,9.1,16.4,12.7,5.0,0.5,1.0,20.6,14.6,-0.4,0.2,-0.1,-0.017,-5.2,-1.5,-6.6,-0.4
69,Kenny Dennard\dennake01,PF,23,KCK,30,3,20.2,2.1,4.0,0.512,0.0,0.0,,2.1,4.0,0.512,0.512,0.9,1.3,0.65,1.6,2.9,4.4,1.4,1.2,0.3,1.2,2.7,5.0,607,11.1,0.541,0.0,0.331,8.5,16.3,12.3,8.6,2.7,0.8,20.2,11.7,0.3,0.8,1.1,0.084,-1.3,2.5,1.2,0.5
70,Coby Dietrick\dietrco01,C,33,CHI,74,0,13.5,1.2,2.7,0.46,0.0,0.0,0.0,1.2,2.7,0.462,0.46,0.5,0.7,0.7040000000000001,0.9,1.7,2.5,1.2,0.7,0.4,0.6,1.8,3.0,999,10.8,0.496,0.005,0.27,7.5,13.6,10.7,11.5,2.4,1.7,16.4,11.2,0.5,1.1,1.7,0.08,-1.6,1.9,0.3,0.6
71,Mickey Dillard\dillami01,PG,23,CLE,33,0,6.7,0.9,2.4,0.36700000000000005,0.0,0.1,0.0,0.9,2.3,0.387,0.36700000000000005,0.5,0.7,0.652,0.2,0.3,0.5,1.0,0.2,0.1,0.5,1.2,2.2,221,7.0,0.41,0.051,0.29100000000000004,2.9,4.9,3.8,21.1,1.8,0.5,16.0,19.8,-0.3,0.0,-0.2,-0.051,-4.4,-3.0,-7.4,-0.3
72,James Donaldson\donalja01,C,24,SEA,82,1,20.9,3.1,5.1,0.609,0.0,0.0,,3.1,5.1,0.609,0.609,1.8,2.9,0.629,1.7,4.3,6.0,0.6,0.3,1.7,1.4,2.3,8.1,1710,16.0,0.63,0.0,0.573,9.1,21.6,15.6,4.1,0.8,4.5,18.0,15.5,2.2,3.4,5.6,0.156,-1.6,2.2,0.6,1.1
73,John Douglas\dougljo01,SG,25,SDC,64,9,16.1,2.8,6.1,0.465,0.3,0.9,0.305,2.5,5.2,0.494,0.488,1.0,1.6,0.657,0.4,1.0,1.4,2.3,0.8,0.1,1.4,2.3,7.0,1031,12.1,0.515,0.152,0.262,3.0,7.5,5.2,19.6,2.2,0.5,17.5,20.8,0.3,0.2,0.5,0.022000000000000002,-0.9,-2.5,-3.3,-0.3
74,Leon Douglas\douglle01,C,27,KCK,63,17,17.3,1.1,2.2,0.5,0.0,0.0,,1.1,2.2,0.5,0.5,0.5,1.3,0.4,1.8,2.8,4.6,0.6,0.2,0.6,0.9,3.3,2.7,1093,6.5,0.491,0.0,0.5710000000000001,11.1,18.9,14.9,3.8,0.6,2.0,23.9,8.6,-0.1,1.1,1.0,0.044000000000000004,-3.4,1.3,-2.1,0.0
75,John Drew\drewjo01,SF,27,ATL,70,51,29.1,6.6,13.7,0.486,0.1,0.2,0.33299999999999996,6.6,13.5,0.488,0.488,5.2,7.0,0.741,2.4,2.9,5.4,1.4,0.9,0.0,2.5,3.6,18.5,2040,18.1,0.5529999999999999,0.013000000000000001,0.513,9.3,11.5,10.4,8.1,1.6,0.1,13.2,28.7,3.2,2.4,5.5,0.13,1.4,-1.6,-0.1,1.0
76,Larry Drew\drewla01,PG,23,KCK,81,19,24.4,4.4,9.3,0.473,0.1,0.3,0.29600000000000004,4.3,9.0,0.479,0.478,1.9,2.3,0.794,0.4,1.5,1.8,5.2,1.4,0.0,2.1,1.9,10.8,1973,15.3,0.52,0.036000000000000004,0.25,1.7,7.0,4.2,29.3,2.6,0.0,17.2,21.0,1.3,1.7,3.0,0.07400000000000001,-0.1,-1.3,-1.4,0.3
77,Terry Duerod\duerote01,SG,25,BOS,21,0,7.0,1.6,3.7,0.442,0.0,0.0,0.0,1.6,3.6,0.447,0.442,0.2,0.6,0.33299999999999996,0.3,0.4,0.7,0.6,0.1,0.0,0.1,0.4,3.4,146,12.5,0.43799999999999994,0.013000000000000001,0.156,4.6,6.6,5.7,11.9,1.0,0.4,2.4,23.1,0.1,0.1,0.2,0.071,-1.8,-2.9,-4.8,-0.1
78,Mike Dunleavy\dunlemi01,SG,27,HOU,70,15,18.8,2.9,6.4,0.45799999999999996,0.5,1.2,0.384,2.5,5.2,0.475,0.494,1.1,1.5,0.708,0.3,1.1,1.5,3.2,0.6,0.0,1.1,2.3,7.4,1315,13.2,0.524,0.191,0.23600000000000002,1.9,7.0,4.4,23.7,1.7,0.1,13.9,17.9,1.8,0.7,2.6,0.09300000000000001,0.3,-2.2,-1.8,0.1
79,T.R. Dunn\dunntr01,SG,26,DEN,82,80,30.7,3.1,6.1,0.512,0.0,0.0,0.0,3.1,6.1,0.513,0.512,1.9,2.6,0.7120000000000001,2.6,4.2,6.8,2.3,1.6,0.4,1.5,2.6,8.2,2519,12.1,0.5589999999999999,0.002,0.42700000000000005,9.2,14.4,11.9,8.3,2.3,0.7,17.0,10.9,2.9,1.1,4.0,0.076,1.2,1.1,2.3,2.7
80,John Duren\durenjo01,PG,23,UTA,79,9,13.4,1.5,3.4,0.451,0.0,0.1,0.273,1.5,3.3,0.45899999999999996,0.457,0.3,0.5,0.73,0.2,0.9,1.1,2.0,0.3,0.1,0.9,1.8,3.4,1056,7.0,0.478,0.040999999999999995,0.138,1.4,7.3,4.3,18.2,0.9,0.2,20.2,13.5,-0.3,0.0,-0.3,-0.013000000000000001,-3.9,-2.7,-6.5,-1.2
81,Craig Dykema\dykemcr01,SF,22,PHO,32,0,3.2,0.5,1.2,0.45899999999999996,0.1,0.1,0.5,0.5,1.0,0.455,0.486,0.2,0.3,0.778,0.1,0.3,0.4,0.5,0.1,0.0,0.2,0.6,1.3,103,11.1,0.525,0.10800000000000001,0.243,3.3,9.4,6.4,20.2,0.9,0.0,14.6,19.2,0.1,0.1,0.2,0.095,-2.0,-2.6,-4.6,-0.1
82,Franklin Edwards\edwarfr01,PG,22,PHI,42,3,6.9,1.5,3.6,0.433,0.0,0.2,0.0,1.5,3.4,0.461,0.433,0.5,0.6,0.741,0.2,0.4,0.6,1.1,0.4,0.1,0.6,0.9,3.6,291,13.7,0.46299999999999997,0.06,0.18,4.0,6.3,5.2,22.5,2.6,1.0,12.9,26.6,-0.1,0.4,0.2,0.040999999999999995,-1.9,-1.8,-3.7,-0.1
83,James Edwards\edwarja01,C,26,CLE,77,75,33.0,6.9,13.4,0.511,0.0,0.1,0.0,6.9,13.4,0.513,0.511,3.0,4.4,0.684,2.5,5.1,7.5,1.6,0.3,1.5,2.1,4.5,16.7,2539,15.8,0.545,0.004,0.32799999999999996,7.9,18.6,12.9,7.4,0.5,2.6,12.1,21.8,3.0,1.3,4.3,0.08,0.0,-0.6,-0.6,0.9
84,Len Elmore\elmorle01,C,29,NJN,81,70,25.9,3.7,8.0,0.46,0.0,0.0,,3.7,8.0,0.46,0.46,1.7,2.1,0.794,2.1,3.4,5.4,1.2,1.1,1.1,1.7,3.5,9.1,2100,11.8,0.506,0.0,0.261,8.9,14.9,11.9,6.4,2.0,2.6,15.8,16.4,0.5,3.6,4.1,0.094,-2.2,2.5,0.4,1.2
85,Alex English*\englial01,SF,28,DEN,82,82,36.8,10.4,18.9,0.551,0.0,0.1,0.0,10.4,18.8,0.5529999999999999,0.551,4.5,5.4,0.84,2.6,4.2,6.8,5.3,1.1,1.5,3.2,3.2,25.4,3015,22.2,0.596,0.005,0.285,7.7,12.0,9.9,19.9,1.3,2.0,13.0,25.3,8.9,0.6,9.5,0.152,4.9,-0.8,4.1,4.6
86,Julius Erving*\ervinju01,SF,31,PHI,81,81,34.4,9.6,17.6,0.546,0.0,0.1,0.273,9.6,17.5,0.5479999999999999,0.547,5.1,6.7,0.763,2.7,4.2,6.9,3.9,2.0,1.7,2.6,2.8,24.4,2789,25.9,0.593,0.008,0.377,9.3,13.0,11.2,18.1,2.8,2.9,11.4,28.1,8.7,4.6,13.3,0.22899999999999998,5.6,2.1,7.8,6.9
87,Mike Evans\evansmi01,PG,26,TOT,22,0,12.3,1.6,3.9,0.40700000000000003,0.0,0.3,0.0,1.6,3.6,0.43799999999999994,0.40700000000000003,0.6,0.9,0.65,0.2,0.8,1.0,1.9,0.6,0.0,1.2,1.6,3.8,270,7.3,0.43799999999999994,0.07,0.233,2.1,7.2,4.6,21.0,2.3,0.0,21.5,18.4,-0.4,0.3,-0.1,-0.013000000000000001,-4.4,-1.1,-5.5,-0.2
87,Mike Evans\evansmi01,PG,26,MIL,14,0,14.0,1.7,3.6,0.47100000000000003,0.0,0.1,0.0,1.7,3.5,0.49,0.47100000000000003,0.6,0.9,0.667,0.2,0.6,0.9,1.6,0.6,0.0,1.1,1.9,4.0,196,7.2,0.498,0.039,0.235,1.8,5.1,3.5,14.5,2.2,0.0,21.0,15.0,-0.1,0.2,0.2,0.040999999999999995,-4.0,-0.8,-4.8,-0.1
87,Mike Evans\evansmi01,PG,26,CLE,8,0,9.3,1.4,4.4,0.314,0.0,0.5,0.0,1.4,3.9,0.355,0.314,0.6,1.0,0.625,0.3,1.0,1.3,2.5,0.5,0.0,1.4,1.3,3.4,74,7.5,0.35,0.114,0.22899999999999998,2.9,13.0,7.6,38.0,2.6,0.0,22.2,27.6,-0.3,0.0,-0.2,-0.158,-5.4,-1.8,-7.2,-0.1
88,Eric Fernsten\fernser01,C,28,BOS,43,0,4.7,0.4,1.1,0.38799999999999996,0.0,0.0,,0.4,1.1,0.38799999999999996,0.38799999999999996,0.4,0.7,0.633,0.3,0.7,1.0,0.2,0.1,0.2,0.3,0.5,1.3,202,8.1,0.45799999999999996,0.0,0.612,6.7,16.0,11.5,4.8,1.2,1.9,17.3,14.9,-0.1,0.3,0.2,0.047,-4.9,0.5,-4.4,-0.1
89,Chris Ford\fordch01,SG,33,BOS,76,53,20.9,2.5,5.9,0.418,0.3,0.8,0.317,2.2,5.1,0.434,0.44,0.5,0.7,0.696,0.7,0.7,1.4,1.9,0.6,0.1,0.7,1.9,5.7,1591,7.8,0.45799999999999996,0.14,0.124,3.7,3.8,3.7,11.1,1.2,0.3,9.9,13.3,0.7,1.4,2.1,0.063,-1.6,-0.5,-2.1,0.0
90,Don Ford\forddo01,SF,29,CLE,21,1,9.6,0.4,1.1,0.375,0.0,0.0,0.0,0.4,1.1,0.391,0.375,0.2,0.3,0.833,0.7,1.0,1.7,0.5,0.4,0.0,0.7,1.4,1.1,201,3.7,0.43200000000000005,0.042,0.25,7.4,12.6,9.8,6.7,1.9,0.0,36.0,8.5,-0.2,0.1,-0.1,-0.035,-5.1,0.7,-4.4,-0.1
91,Phil Ford\fordph01,PG,25,KCK,72,65,27.1,4.0,9.0,0.439,0.1,0.4,0.21899999999999997,3.9,8.6,0.451,0.445,1.9,2.3,0.8190000000000001,0.3,1.1,1.5,6.3,0.9,0.0,2.7,2.2,9.9,1952,11.4,0.494,0.049,0.256,1.3,4.8,3.0,30.4,1.5,0.0,21.2,19.2,-0.2,1.1,0.9,0.021,-2.1,-2.7,-4.9,-1.4
92,World B. Free\freewo01,SG,28,GSW,78,78,35.8,8.3,18.6,0.44799999999999995,0.1,0.7,0.179,8.2,17.9,0.45799999999999996,0.451,6.1,8.3,0.74,1.5,1.7,3.2,5.4,0.9,0.1,2.7,2.8,22.9,2796,18.2,0.515,0.039,0.446,4.5,5.2,4.8,21.7,1.2,0.2,10.7,28.0,5.6,1.3,6.9,0.11800000000000001,2.4,-2.3,0.1,1.5
93,Mike Gale\galemi01,PG,31,GSW,75,70,23.9,2.5,5.0,0.496,0.0,0.1,0.0,2.5,4.9,0.503,0.496,0.7,0.9,0.785,0.5,2.0,2.5,3.5,1.6,0.4,1.7,2.3,5.6,1793,10.9,0.524,0.013000000000000001,0.174,2.2,9.4,5.7,17.8,3.2,0.9,23.9,11.9,0.3,2.1,2.4,0.063,-1.6,2.1,0.5,1.2
94,Calvin Garrett\garreca01,SF,25,HOU,51,22,16.8,2.1,4.7,0.434,0.1,0.2,0.3,2.0,4.5,0.44,0.44,0.3,0.5,0.654,0.5,1.3,1.8,1.5,0.6,0.1,0.7,1.8,4.5,858,8.4,0.45399999999999996,0.040999999999999995,0.107,3.4,8.9,6.1,11.6,1.8,0.4,13.0,13.9,0.0,0.6,0.6,0.035,-2.7,-0.1,-2.8,-0.2
95,George Gervin*\gervige01,SG,29,SAS,79,79,35.7,12.6,25.2,0.5,0.1,0.5,0.278,12.4,24.7,0.504,0.502,7.0,8.1,0.8640000000000001,1.7,3.2,5.0,2.4,1.0,0.6,2.7,2.7,32.3,2817,24.2,0.562,0.018000000000000002,0.32299999999999995,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35.0,8.7,2.0,10.7,0.182,4.6,-2.9,1.7,2.6
96,Artis Gilmore*\gilmoar01,C,32,CHI,82,82,34.1,6.7,10.2,0.652,0.0,0.0,1.0,6.6,10.2,0.652,0.653,5.2,6.7,0.768,2.7,7.5,10.2,1.7,0.6,2.7,2.8,3.5,18.5,2796,22.4,0.7020000000000001,0.001,0.659,9.5,23.7,16.9,7.5,0.8,4.3,17.4,19.6,8.3,3.8,12.1,0.20800000000000002,2.9,1.6,4.5,4.6
97,Mike Glenn\glennmi01,SG,26,ATL,49,0,17.0,3.2,5.9,0.5429999999999999,0.0,0.0,0.5,3.2,5.9,0.5429999999999999,0.545,1.2,1.4,0.8809999999999999,0.1,1.1,1.2,1.8,0.5,0.1,0.6,1.6,7.7,833,16.0,0.5870000000000001,0.006999999999999999,0.23,0.7,7.6,4.1,16.9,1.6,0.2,7.8,18.1,2.0,0.8,2.8,0.161,0.9,-1.3,-0.5,0.3
98,Mike Gminski\gminsmi01,C,22,NJN,64,6,11.6,1.9,4.2,0.441,0.0,0.0,,1.9,4.2,0.441,0.441,1.5,1.8,0.8220000000000001,1.1,1.8,2.9,0.6,0.3,0.8,0.9,1.1,5.2,740,15.3,0.52,0.0,0.43700000000000006,10.6,17.9,14.2,7.7,1.1,3.8,14.8,20.4,0.6,1.2,1.8,0.11900000000000001,-2.5,1.1,-1.4,0.1
99,Glen Gondrezick\gondrgl01,SF,26,DEN,80,0,21.2,3.1,6.2,0.505,0.0,0.0,0.0,3.1,6.2,0.508,0.505,2.0,2.7,0.737,1.8,3.5,5.3,1.9,1.2,0.5,1.3,2.9,8.3,1699,14.9,0.5589999999999999,0.006,0.43799999999999994,9.1,17.4,13.3,10.4,2.4,1.1,14.5,15.4,2.6,1.0,3.6,0.102,1.0,0.4,1.4,1.5
100,Rickey Green\greenri01,PG,27,UTA,81,73,34.8,6.2,12.5,0.493,0.0,0.1,0.0,6.2,12.4,0.49700000000000005,0.493,2.5,3.3,0.765,1.0,2.0,3.0,7.8,2.3,0.1,2.4,2.3,14.8,2822,17.4,0.531,0.008,0.26,3.2,6.1,4.6,29.7,3.0,0.2,14.9,18.8,4.3,1.4,5.7,0.096,1.8,-1.1,0.8,2.0
101,Dave Greenwood\greenda01,PF,24,CHI,82,82,35.5,5.9,12.4,0.473,0.0,0.0,0.0,5.9,12.3,0.475,0.473,2.9,3.5,0.825,2.3,7.2,9.6,3.2,0.9,1.1,2.2,3.6,14.6,2914,15.5,0.525,0.003,0.287,7.8,22.2,15.3,13.2,1.2,1.8,13.6,19.0,3.2,3.2,6.5,0.107,-0.1,1.5,1.4,2.5
102,Kevin Grevey\greveke01,SG,28,WSB,71,62,30.5,5.3,12.1,0.439,0.4,1.2,0.341,4.9,10.9,0.449,0.455,2.3,2.7,0.855,0.8,1.9,2.7,2.1,0.6,0.3,1.4,2.1,13.3,2164,11.7,0.502,0.096,0.225,2.9,6.8,4.9,10.1,1.0,0.6,9.2,20.1,1.2,2.4,3.6,0.08,-0.9,-0.3,-1.2,0.4
103,Paul Griffin\griffpa01,PF,28,SAS,23,0,20.0,1.4,2.9,0.485,0.0,0.0,,1.4,2.9,0.485,0.485,1.0,1.6,0.649,1.3,2.9,4.1,2.3,0.9,0.3,1.7,2.9,3.8,459,8.5,0.535,0.0,0.561,6.8,15.4,11.1,13.6,2.0,1.0,32.7,10.6,-0.1,0.5,0.4,0.04,-2.5,2.4,-0.1,0.2
104,Darrell Griffith\griffda01,SG,23,UTA,80,79,32.5,8.6,17.9,0.48200000000000004,0.2,0.7,0.28800000000000003,8.4,17.2,0.489,0.48700000000000004,2.4,3.4,0.6970000000000001,1.6,2.2,3.8,2.3,1.2,0.4,2.4,2.7,19.8,2597,15.8,0.511,0.036000000000000004,0.19,5.2,7.5,6.3,10.8,1.7,0.7,11.1,26.8,1.4,0.7,2.1,0.038,0.1,-2.5,-2.4,-0.3
105,Bob Gross\grossbo01,SF,28,POR,59,24,23.3,2.9,5.5,0.537,0.1,0.1,0.5,2.9,5.4,0.5379999999999999,0.542,1.3,1.8,0.75,1.7,2.7,4.4,2.1,1.3,0.7,1.5,2.7,7.2,1377,13.8,0.581,0.019,0.32299999999999995,8.3,12.7,10.5,11.5,2.6,1.7,19.3,13.6,1.5,1.6,3.1,0.10800000000000001,0.4,2.2,2.5,1.6
106,Ernie Grunfeld\grunfer01,SG,26,KCK,81,11,23.4,5.2,10.1,0.511,0.0,0.2,0.14300000000000002,5.2,10.0,0.517,0.512,2.3,2.8,0.821,0.7,1.6,2.2,3.4,0.9,0.5,1.8,2.4,12.7,1892,17.2,0.5579999999999999,0.017,0.27899999999999997,3.2,7.7,5.4,21.3,1.8,1.2,13.8,23.1,2.8,1.5,4.3,0.11,1.2,-0.8,0.4,1.1
107,Petur Gudmundsson\gudmupe01,C,23,POR,68,6,12.4,1.2,2.4,0.5,0.0,0.0,1.0,1.2,2.4,0.49700000000000005,0.503,0.8,1.1,0.684,0.8,2.0,2.7,0.9,0.2,0.4,1.1,2.4,3.2,845,7.9,0.5489999999999999,0.006,0.45799999999999996,6.8,17.7,12.3,8.5,0.7,2.0,26.8,13.2,-0.2,0.8,0.6,0.032,-3.8,0.5,-3.2,-0.3
108,Glenn Hagan\hagangl01,PG,26,DET,4,0,6.3,0.8,1.8,0.429,0.0,0.0,,0.8,1.8,0.429,0.429,0.3,0.3,1.0,0.5,0.5,1.0,2.0,0.8,0.0,0.3,1.8,1.8,25,18.1,0.47,0.0,0.14300000000000002,8.5,9.1,8.8,41.1,5.5,0.0,11.8,13.2,0.1,0.0,0.1,0.201,2.5,1.2,3.7,0.0
109,Bill Hanzlik\hanzlbi01,SF,24,SEA,81,76,24.4,2.1,4.4,0.46799999999999997,0.0,0.0,0.0,2.1,4.4,0.473,0.46799999999999997,1.7,2.2,0.784,1.2,2.1,3.3,2.3,1.0,0.4,1.3,3.1,5.8,1974,9.6,0.5429999999999999,0.011000000000000001,0.493,5.6,8.9,7.3,11.6,2.0,0.8,19.6,11.3,1.3,2.9,4.1,0.1,-1.6,2.2,0.6,1.3
110,Alan Hardy\hardyal01,SG,24,DET,38,0,8.2,1.6,3.6,0.456,0.0,0.1,0.0,1.6,3.4,0.473,0.456,0.5,0.8,0.621,0.4,0.5,0.9,0.5,0.2,0.1,0.5,0.8,3.7,310,10.5,0.47700000000000004,0.037000000000000005,0.213,4.8,7.3,6.0,9.2,1.3,0.7,11.9,21.3,0.0,0.2,0.2,0.027999999999999997,-3.0,-2.6,-5.6,-0.3
111,James Hardy\hardyja01,SF,25,UTA,82,17,22.1,2.2,4.5,0.485,0.0,0.0,0.0,2.2,4.5,0.486,0.485,0.8,1.1,0.688,1.9,3.9,5.7,1.3,0.7,0.8,1.0,2.3,5.1,1814,11.4,0.515,0.003,0.252,8.9,19.1,13.9,7.3,1.5,2.0,16.0,10.8,1.2,1.3,2.5,0.066,-1.6,1.3,-0.3,0.8
112,Mike Harper\harpemi01,PF,24,POR,68,38,21.1,2.7,5.4,0.49700000000000005,0.0,0.0,0.0,2.7,5.4,0.499,0.49700000000000005,1.4,2.3,0.627,1.9,3.1,5.0,0.8,0.8,1.2,1.4,3.4,6.8,1433,12.2,0.531,0.003,0.414,10.0,16.4,13.2,4.8,1.8,3.2,17.4,15.2,0.6,1.8,2.4,0.08,-1.8,1.5,-0.4,0.6
